ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
cd4_less_200,Mbu,79,81,12,263,251,2,79,12,251,2,0.959302325581395,330,344,cult_other,24,who
cd4_less_200,Modi,36,41,38,152,114,5,36,38,114,5,0.77720207253886,150,193,cult_other,21,who
cd4_less_200,Nguyen,7,12,44,75,31,5,7,44,31,5,0.436781609195402,38,87,cult_other,14,who
cd4_less_200,Rangaka,40,92,481,581,100,52,40,481,100,52,0.208023774145617,140,673,cult_other,14,who
cd4_less_200,Reeve,39,46,55,162,107,7,39,55,107,7,0.701923076923077,146,208,cult_other,22,who
cd4_less_200,Shapiro,23,25,23,102,79,2,23,23,79,2,0.803149606299213,102,127,cult_other,20,who
cd4_less_200,Swindells,23,27,46,195,149,4,23,46,149,4,0.774774774774775,172,222,cult_other,12,who
cd4_less_200,Thit,18,18,58,140,82,0,18,58,82,0,0.632911392405063,100,158,cult_other,11,who
cd4_less_200,Yoon,192,194,81,726,645,2,192,81,645,2,0.909782608695652,837,920,cult_other,21,who
cd4_high_200,Affolabi,24,49,1598,1981,383,25,24,1598,383,25,0.200492610837438,407,2030,cult_other,2,who
cd4_high_200,Ahmad,22,30,212,400,188,8,22,212,188,8,0.488372093023256,210,430,cult_other,7,who
cd4_high_200,Al Darraji,7,8,27,80,53,1,7,27,53,1,0.681818181818182,60,88,cult_other,9,who
cd4_high_200,Balcha,47,54,95,372,277,7,47,95,277,7,0.76056338028169,324,426,cult,13,who
cd4_high_200,Bjerrum,10,11,22,133,111,1,10,22,111,1,0.840277777777778,121,144,cult_other,8,who
cd4_high_200,Gersh,0,4,239,269,30,4,0,239,30,4,0.10989010989011,30,273,cult_other,1,who
cd4_high_200,Hanifa,2,3,1,15,14,1,2,1,14,1,0.888888888888889,16,18,cult_other,17,who
cd4_high_200,Hoffmann,5,22,1005,1176,171,17,5,1005,171,17,0.146911519198664,176,1198,cult_other,2,who
cd4_high_200,Kemper,3,3,24,35,11,0,3,24,11,0,0.368421052631579,14,38,cult_other,8,who
cd4_high_200,Kerkhoff,26,26,28,163,135,0,26,28,135,0,0.851851851851852,161,189,cult_other,14,who
cd4_high_200,Kufa,4,4,41,217,176,0,4,41,176,0,0.81447963800905,180,221,cult,2,who
cd4_high_200,LaCourse,3,7,172,218,46,4,3,172,46,4,0.217777777777778,49,225,cult_other,3,who
cd4_high_200,Mbu,42,50,106,546,440,8,42,106,440,8,0.808724832214765,482,596,cult_other,8,who
cd4_high_200,Modi,16,33,267,446,179,17,16,267,179,17,0.407098121085595,195,479,cult_other,7,who
cd4_high_200,Nguyen,7,16,192,294,102,9,7,192,102,9,0.351612903225806,109,310,cult_other,5,who
cd4_high_200,Rangaka,10,34,666,722,56,24,10,666,56,24,0.0873015873015873,66,756,cult_other,4,who
cd4_high_200,Reeve,25,44,244,474,230,19,25,244,230,19,0.492277992277992,255,518,cult_other,8,who
cd4_high_200,Shapiro,13,15,117,269,152,2,13,117,152,2,0.580985915492958,165,284,cult_other,5,who
cd4_high_200,Swindells,26,29,189,472,283,3,26,189,283,3,0.616766467065868,309,501,cult_other,6,who
cd4_high_200,Thit,8,11,179,293,114,3,8,179,114,3,0.401315789473684,122,304,cult_other,4,who
cd4_high_200,Yoon,41,48,100,557,457,7,41,100,457,7,0.823140495867769,498,605,cult_other,8,who
pregnant,Bjerrum,1,1,10,23,13,0,1,10,13,0,0.583333333333333,14,24,cult_other,4,who
pregnant,Hoffmann,10,35,1152,1369,217,25,10,1152,217,25,0.161680911680912,227,1404,cult_other,2,who
pregnant,Kerkhoff,0,0,11,20,9,0,0,11,9,0,0.45,9,20,cult_other,0,who
pregnant,Kufa,1,1,5,10,5,0,1,5,5,0,0.545454545454545,6,11,cult,9,who
pregnant,LaCourse,3,8,230,284,54,5,3,230,54,5,0.195205479452055,57,292,cult_other,3,who
pregnant,Modi,2,7,93,124,31,5,2,93,31,5,0.251908396946565,33,131,cult_other,5,who
