author,n1,r1,p1,n2,r2,p2,id
Swindells,723,56,0.0774550484094053,723,56,0.0774550484094053,all_cd4_count
Thit,462,9,0.0194805194805195,462,29,0.0627705627705628,all_cd4_count
Yoon,1525,232,0.152131147540984,1525,242,0.158688524590164,all_cd4_count
Affolabi,345,28,0.0811594202898551,353,34,0.0963172804532578,cd4_less_100
Ahmad,88,17,0.193181818181818,88,17,0.193181818181818,cd4_less_100
Al Darraji,20,5,0.25,20,5,0.25,cd4_less_100
Balcha,159,36,0.226415094339623,159,40,0.251572327044025,cd4_less_100
Bjerrum,152,17,0.111842105263158,152,19,0.125,cd4_less_100
Gersh,11,0,0,11,0,0,cd4_less_100
Hanifa,137,22,0.160583941605839,137,22,0.160583941605839,cd4_less_100
Hoffmann,40,4,0.1,40,4,0.1,cd4_less_100
Kemper,49,9,0.183673469387755,49,9,0.183673469387755,cd4_less_100
Kerkhoff,136,35,0.257352941176471,136,37,0.272058823529412,cd4_less_100
Kufa,96,13,0.135416666666667,96,13,0.135416666666667,cd4_less_100
LaCourse,4,0,0,4,0,0,cd4_less_100
Mbu,215,56,0.26046511627907,215,56,0.26046511627907,cd4_less_100
Modi,110,25,0.227272727272727,110,28,0.254545454545455,cd4_less_100
Nguyen,27,4,0.148148148148148,27,4,0.148148148148148,cd4_less_100
Rangaka,182,32,0.175824175824176,182,32,0.175824175824176,cd4_less_100
Reeve,106,30,0.283018867924528,108,31,0.287037037037037,cd4_less_100
Shapiro,52,16,0.307692307692308,52,16,0.307692307692308,cd4_less_100
Swindells,100,16,0.16,100,16,0.16,cd4_less_100
Thit,74,4,0.0540540540540541,74,11,0.148648648648649,cd4_less_100
Yoon,521,117,0.224568138195777,521,121,0.232245681381958,cd4_less_100
Affolabi,2348,52,0.0221465076660988,2378,78,0.0328006728343146,cd4_high_100
Ahmad,523,40,0.0764818355640535,523,40,0.0764818355640535,cd4_high_100
Al Darraji,105,10,0.0952380952380952,105,10,0.0952380952380952,cd4_high_100
Balcha,645,88,0.136434108527132,648,97,0.149691358024691,cd4_high_100
Bjerrum,235,19,0.0808510638297872,235,20,0.0851063829787234,cd4_high_100
Gersh,306,5,0.0163398692810458,306,6,0.0196078431372549,cd4_high_100
Hanifa,212,41,0.193396226415094,212,41,0.193396226415094,cd4_high_100
Hoffmann,1337,31,0.0231862378459237,1337,31,0.0231862378459237,cd4_high_100
Kemper,53,3,0.0566037735849057,54,6,0.111111111111111,cd4_high_100
Kerkhoff,384,53,0.138020833333333,385,57,0.148051948051948,cd4_high_100
Kufa,319,11,0.0344827586206897,319,11,0.0344827586206897,cd4_high_100
LaCourse,238,6,0.0252100840336134,238,7,0.0294117647058824,cd4_high_100
Mbu,725,75,0.103448275862069,725,75,0.103448275862069,cd4_high_100
Modi,573,45,0.0785340314136126,573,49,0.0855148342059337,cd4_high_100
Nguyen,370,24,0.0648648648648649,370,24,0.0648648648648649,cd4_high_100
Rangaka,1247,94,0.0753809141940658,1247,94,0.0753809141940658,cd4_high_100
Reeve,609,53,0.0870279146141215,618,59,0.0954692556634304,cd4_high_100
Shapiro,359,24,0.0668523676880223,359,24,0.0668523676880223,cd4_high_100
Swindells,623,40,0.0642054574638844,623,40,0.0642054574638844,cd4_high_100
Thit,388,5,0.0128865979381443,388,18,0.0463917525773196,cd4_high_100
Yoon,1004,115,0.114541832669323,1004,121,0.120517928286853,cd4_high_100
Affolabi,690,48,0.0695652173913044,701,63,0.0898716119828816,cd4_less_200
Ahmad,181,27,0.149171270718232,181,27,0.149171270718232,cd4_less_200
Al Darraji,37,7,0.189189189189189,37,7,0.189189189189189,cd4_less_200
Balcha,379,78,0.205804749340369,381,83,0.217847769028871,cd4_less_200
Bjerrum,243,26,0.106995884773663,243,28,0.11522633744856,cd4_less_200
Gersh,44,2,0.0454545454545455,44,2,0.0454545454545455,cd4_less_200
Hanifa,331,60,0.181268882175227,331,60,0.181268882175227,cd4_less_200
Hoffmann,179,13,0.0726256983240224,179,13,0.0726256983240224,cd4_less_200
Kemper,64,10,0.15625,65,12,0.184615384615385,cd4_less_200
Kerkhoff,331,64,0.193353474320242,332,68,0.204819277108434,cd4_less_200
Kufa,194,20,0.103092783505155,194,20,0.103092783505155,cd4_less_200
LaCourse,17,0,0,17,0,0,cd4_less_200
