ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
cd4_less_100,LaCourse,0,0,4,4,0,0,0,4,0,0,0,0,4,cult_other,0,who
cd4_less_100,Mbu,55,56,3,159,156,1,55,3,156,1,0.981395348837209,211,215,cult_other,26,who
cd4_less_100,Modi,22,24,23,85,62,2,22,23,62,2,0.770642201834862,84,109,cult_other,22,who
cd4_less_100,Nguyen,3,4,12,23,11,1,3,12,11,1,0.518518518518519,14,27,cult_other,15,who
cd4_less_100,Rangaka,17,32,115,150,35,15,17,115,35,15,0.285714285714286,52,182,cult_other,18,who
cd4_less_100,Reeve,29,30,18,76,58,1,29,18,58,1,0.820754716981132,87,106,cult_other,28,who
cd4_less_100,Shapiro,15,16,6,36,30,1,15,6,30,1,0.865384615384615,45,52,cult_other,31,who
cd4_less_100,Swindells,14,16,12,84,72,2,14,12,72,2,0.86,86,100,cult_other,16,who
cd4_less_100,Thit,4,4,20,70,50,0,4,20,50,0,0.72972972972973,54,74,cult_other,5,who
cd4_less_100,Yoon,117,117,31,404,373,0,117,31,373,0,0.940499040307102,490,521,cult_other,22,who
cd4_high_100,Affolabi,31,52,1787,2296,509,21,31,1787,509,21,0.229982964224872,540,2348,cult_other,2,who
cd4_high_100,Ahmad,29,40,245,483,238,11,29,245,238,11,0.510516252390057,267,523,cult_other,8,who
cd4_high_100,Al Darraji,8,10,34,95,61,2,8,34,61,2,0.657142857142857,69,105,cult_other,10,who
cd4_high_100,Balcha,79,88,134,557,423,9,79,134,423,9,0.778294573643411,502,645,cult,14,who
cd4_high_100,Bjerrum,17,19,28,216,188,2,17,28,188,2,0.872340425531915,205,235,cult_other,8,who
cd4_high_100,Gersh,0,5,269,301,32,5,0,269,32,5,0.104575163398693,32,306,cult_other,2,who
cd4_high_100,Hanifa,39,41,12,171,159,2,39,12,159,2,0.933962264150943,198,212,cult_other,19,who
cd4_high_100,Hoffmann,9,31,1108,1306,198,22,9,1108,198,22,0.154824233358265,207,1337,cult_other,2,who
cd4_high_100,Kemper,3,3,32,50,18,0,3,32,18,0,0.39622641509434,21,53,cult_other,6,who
